pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum_x,st_logg,st_age,st_dens,decstr,dec,sy_dist,pl_type,IST,SPH,HZD,HZC,HZA,pClass,hClass,PHI,is_pot_livable,st_class,st_chz_inn_edge (AU),st_chz_out_edge (AU),st_lum_y,st_chz_width,st_chz_inn_edge (ls),st_chz_out_edge (ls),pl_orb_is_in_CHZ,pl_orb_prc_in_cCHZ,pl_orb_prc_in_cCHZ,OHZIN,CHZIN,CHZOUT,OHZOUT
51 Eri b,51 Eri,3,1,0,Imaging,13326.5,13.066666666666668,,,635.66,2.0,,0.33,,700.0,135.5,,,,,F0 IV,7295.0,1.49,1.7,-0.027,[M/H],0.8009999999999999,4.31,0.02,0.7071,-02d28m25.77s,-2.4738245,29.7575,gas giant,,,,,,,,,,F0,2.37,3.79,6.38,1.41,1184.79,1890.63,False,,,,,,
51 Peg b,51 Peg,1,1,0,Radial Velocity,4.23053038,0.05235,,,148.360256,0.46679999999999994,,0.005733333333333333,,,80.0,2455705.001,,,,,5763.920000000001,1.22,1.0466666666666666,0.19533333333333336,"['[Fe/H]', '[M/H]']",0.136,4.3149999999999995,10.0,0.8937,+20d46m08.74s,20.7690958,15.4614,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.879,1.113,1.964,2.071
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,14.632668666666667,0.11375212500000001,,,263.574511,0.8281333333333333,,0.01500909090909091,,700.0,89.86500000000001,2455803.293,,,,K0 IV-V,5234.9725,0.95,0.9159999999999998,0.30825,"['[M/H]', '[Fe/H]']",-0.197,4.4525,5.25,1.4185,+28d19m47.34s,28.3298154,12.5855,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,0.585,0.741,1.332,1.405
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,44.325675,0.23917514285714286,,,55.97729571428572,0.1761285714285714,,0.102375,,,89.86500000000001,2455846.83,,,,,5246.63,0.95,0.9325000000000001,0.3665,"['[M/H]', '[Fe/H]']",-0.197,4.4366666666666665,,1.4185,+28d19m47.34s,28.3298154,12.5855,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,0.585,0.741,1.332,1.405
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,5000.5599999999995,5.596299999999999,,,1137.00417,3.5775000000000006,,0.11499000000000001,,,89.86500000000001,2455790.0,,,,G8 V,5246.63,0.95,0.9325000000000001,0.33433333333333337,"['[Fe/H]', '[M/H]']",-0.197,4.4366666666666665,5.5,1.4185,+28d19m47.34s,28.3298154,12.5855,gas giant,,,,,,,,,,G8,0.7,1.12,0.56,0.42,351.02,560.13,False,0.0,0.0,0.585,0.741,1.332,1.405
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,1.0808868,0.023016666666666668,1.9792857142857143,0.17642857142857143,8.727369090909091,0.02741454545454546,5.827142857142857,0.081625,,1958.0,86.13571428571429,2456001.0053457143,0.0388,1.5864,0.019028333333333335,G8 V,5243.4725,0.9499999999999998,0.9266666666666667,0.3476666666666666,"['[M/H]', '[Fe/H]']",-0.197,4.4399999999999995,,1.41425,+28d19m47.34s,28.3298154,12.5855,,,,,,,,,,,G8,0.7,1.12,0.56,0.42,351.02,560.13,False,0.0,0.0,0.585,0.741,1.332,1.405
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,260.81,0.7785857142857144,,,47.821131666666666,0.15045,,0.17450000000000002,,,89.86500000000001,2456020.7,,,,,5246.63,0.95,0.9325000000000001,0.3665,"['[M/H]', '[Fe/H]']",-0.197,4.4366666666666665,,1.4185,+28d19m47.34s,28.3298154,12.5855,gas giant,,,,,,,,,,,,,,,,,False,68.3,100.0,0.585,0.741,1.332,1.405
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,902.6913333333333,2.1633333333333336,,,701.3475333333332,2.2066666666666666,,0.11066666666666668,,,,,,,,K0 IV,4958.0,5.2,1.6533333333333333,-0.13,[Fe/H],1.176,3.175,,,+58d09m40.23s,58.1611753,54.6599,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,2.985,3.78,6.858,7.234
61 Vir b,61 Vir,1,3,0,Radial Velocity,4.2149350000000005,0.0498805,,,5.10852,0.016050000000000002,,0.1095,,,,2455200.7,,,,G5 V,5581.285,0.995,0.925,0.009000000000000001,[Fe/H],-0.095,4.355,8.96,,-18d18m56.79s,-18.3157745,8.50332,,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,0.681,0.862,1.529,1.613
61 Vir c,61 Vir,1,3,0,Radial Velocity,38.058350000000004,0.2163,,,17.156950000000002,0.05385,,0.10400000000000001,,,,2454922.48,,,,G5 V,5581.285,0.995,0.925,0.009000000000000001,[Fe/H],-0.095,4.355,8.96,,-18d18m56.79s,-18.3157745,8.50332,neptune-like,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,0.681,0.862,1.529,1.613
