db_name,complete_name
sy_pmraerr1,Proper Motion (RA) [mas/yr] Upper Unc
sy_pmraerr2,Proper Motion (RA) [mas/yr] Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_pmdec,Proper Motion (Dec) [mas/yr]
sy_pmdecerr1,Proper Motion (Dec) [mas/yr] Upper Unc
sy_pmdecerr2,Proper Motion (Dec) [mas/yr] Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_dist,Distance [pc]
sy_disterr1,Distance [pc] Upper Unc
sy_disterr2,Distance [pc] Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_plx,Parallax [mas]
sy_plxerr1,Parallax [mas] Upper Unc
sy_plxerr2,Parallax [mas] Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_bmag,B (Johnson) Magnitude
sy_bmagerr1,B (Johnson) Magnitude Upper Unc
sy_bmagerr2,B (Johnson) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_vmag,V (Johnson) Magnitude
sy_vmagerr1,V (Johnson) Magnitude Upper Unc
sy_vmagerr2,V (Johnson) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_jmag,J (2MASS) Magnitude
sy_jmagerr1,J (2MASS) Magnitude Upper Unc
sy_jmagerr2,J (2MASS) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_hmag,H (2MASS) Magnitude
sy_hmagerr1,H (2MASS) Magnitude Upper Unc
sy_hmagerr2,H (2MASS) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_kmag,Ks (2MASS) Magnitude
sy_kmagerr1,Ks (2MASS) Magnitude Upper Unc
sy_kmagerr2,Ks (2MASS) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_umag,u (Sloan) Magnitude
sy_umagerr1,u (Sloan) Magnitude Upper Unc
sy_umagerr2,u (Sloan) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_gmag,g (Sloan) Magnitude
sy_gmagerr1,g (Sloan) Magnitude Upper Unc
sy_gmagerr2,g (Sloan) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_rmag,r (Sloan) Magnitude
sy_rmagerr1,r (Sloan) Magnitude Upper Unc
sy_rmagerr2,r (Sloan) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_imag,i (Sloan) Magnitude
sy_imagerr1,i (Sloan) Magnitude Upper Unc
sy_imagerr2,i (Sloan) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_zmag,z (Sloan) Magnitude
sy_zmagerr1,z (Sloan) Magnitude Upper Unc
sy_zmagerr2,z (Sloan) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_w1mag,W1 (WISE) Magnitude
sy_w1magerr1,W1 (WISE) Magnitude Upper Unc
sy_w1magerr2,W1 (WISE) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_w2mag,W2 (WISE) Magnitude
sy_w2magerr1,W2 (WISE) Magnitude Upper Unc
sy_w2magerr2,W2 (WISE) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_w3mag,W3 (WISE) Magnitude
sy_w3magerr1,W3 (WISE) Magnitude Upper Unc
sy_w3magerr2,W3 (WISE) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_w4mag,W4 (WISE) Magnitude
sy_w4magerr1,W4 (WISE) Magnitude Upper Unc
sy_w4magerr2,W4 (WISE) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_gaiamag,Gaia Magnitude
sy_gaiamagerr1,Gaia Magnitude Upper Unc
sy_gaiamagerr2,Gaia Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_icmag,I (Cousins) Magnitude
sy_icmagerr1,I (Cousins) Magnitude Upper Unc
sy_icmagerr2,I (Cousins) Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_tmag,TESS Magnitude
sy_tmagerr1,TESS Magnitude Upper Unc
sy_tmagerr2,TESS Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
sy_kepmag,Kepler Magnitude
sy_kepmagerr1,Kepler Magnitude Upper Unc
sy_kepmagerr2,Kepler Magnitude Lower Unc
,PLANETARY SYSTEMS COMPOSITE PARAMETERS ONLY
rowupdate,Date of Last Update
pl_pubdate,Planetary Parameter Reference Publication Date
releasedate,Release Date
pl_nnotes,Number of Notes
st_nphot,Number of Photometry Time Series
st_nrvc,Number of Radial Velocity Time Series
st_nspec,Number of Stellar Spectra Measurements
pl_nespec,Number of Emission Spectroscopy Measurements
pl_ntranspec,Number of Transmission Spectroscopy Measurements
