pl_name,pl_type
Kepler-870 b,neptune-like
Kepler-871 b,neptune-like
Kepler-873 b,neptune-like
Kepler-874 b,neptune-like
Kepler-875 b,neptune-like
Kepler-877 b,neptune-like
Kepler-879 b,neptune-like
Kepler-87 c,neptune-like
Kepler-880 b,neptune-like
Kepler-885 b,neptune-like
Kepler-891 b,neptune-like
Kepler-892 b,neptune-like
Kepler-893 b,neptune-like
Kepler-894 b,neptune-like
Kepler-896 b,neptune-like
Kepler-897 b,neptune-like
Kepler-899 b,neptune-like
Kepler-902 b,neptune-like
Kepler-903 c,neptune-like
Kepler-906 b,neptune-like
KOI-351 d,neptune-like
KOI-351 e,neptune-like
KOI-351 f,neptune-like
Kepler-911 b,neptune-like
Kepler-912 b,neptune-like
Kepler-919 b,neptune-like
Kepler-920 b,neptune-like
Kepler-920 c,neptune-like
Kepler-921 b,neptune-like
Kepler-924 b,neptune-like
Kapteyn c,neptune-like
Kepler-1000 b,neptune-like
Kepler-1001 b,neptune-like
Kepler-1004 b,neptune-like
Kepler-1009 b,neptune-like
Kepler-100 c,neptune-like
Kepler-1010 b,neptune-like
Kepler-1011 b,neptune-like
Kepler-1013 b,neptune-like
Kepler-1014 b,neptune-like
Kepler-1015 b,neptune-like
Kepler-1016 b,neptune-like
Kepler-1016 c,neptune-like
Kepler-1018 b,neptune-like
Kepler-1020 b,neptune-like
Kepler-1021 b,neptune-like
Kepler-1022 b,neptune-like
Kepler-1023 b,neptune-like
Kepler-133 c,neptune-like
Kepler-1341 b,neptune-like
Kepler-1345 b,neptune-like
Kepler-1350 b,neptune-like
Kepler-1354 b,neptune-like
Kepler-1359 b,neptune-like
Kepler-1360 b,neptune-like
Kepler-1362 b,neptune-like
Kepler-1364 b,neptune-like
Kepler-1369 b,neptune-like
Kepler-1374 b,neptune-like
Kepler-1378 b,neptune-like
Kepler-1381 b,neptune-like
Kepler-1388 b,neptune-like
Kepler-1388 c,neptune-like
Kepler-1388 d,neptune-like
Kepler-1388 e,neptune-like
Kepler-139 b,neptune-like
Kepler-139 c,neptune-like
Kepler-1403 b,neptune-like
Kepler-1405 b,neptune-like
Kepler-1407 b,neptune-like
Kepler-1411 b,neptune-like
Kepler-1419 b,neptune-like
Kepler-142 c,neptune-like
Kepler-142 d,neptune-like
Kepler-1432 b,neptune-like
Kepler-143 b,neptune-like
Kepler-143 c,neptune-like
Kepler-1442 b,neptune-like
Kepler-1444 b,neptune-like
Kepler-1447 b,neptune-like
Kepler-1451 b,neptune-like
Kepler-1452 b,neptune-like
Kepler-1453 b,neptune-like
Kepler-1455 b,neptune-like
